epoch,seed,test,train,grid
20.0,1.0,0.003731343283582,0.0,wide
40.0,1.0,0.0373134328358208,0.0555555555555555,wide
60.0,1.0,0.1044776119402985,0.1111111111111111,wide
80.0,1.0,0.1380597014925373,0.2222222222222222,wide
100.0,1.0,0.0,0.0,wide
120.0,1.0,0.0,0.0,wide
140.0,1.0,0.2238805970149253,0.1666666666666666,wide
160.0,1.0,0.2574626865671642,0.2777777777777778,wide
180.0,1.0,0.332089552238806,0.6111111111111112,wide
200.0,1.0,0.1380597014925373,0.2222222222222222,wide
220.0,1.0,0.667910447761194,0.6666666666666666,wide
240.0,1.0,0.0634328358208955,0.1111111111111111,wide
260.0,1.0,0.1753731343283582,0.1666666666666666,wide
280.0,1.0,0.1902985074626865,0.3333333333333333,wide
300.0,1.0,0.2313432835820895,0.3333333333333333,wide
320.0,1.0,0.0783582089552238,0.0555555555555555,wide
340.0,1.0,0.1156716417910447,0.0555555555555555,wide
360.0,1.0,0.1194029850746268,0.0,wide
380.0,1.0,0.5186567164179104,0.5555555555555556,wide
400.0,1.0,0.5932835820895522,0.5555555555555556,wide
420.0,1.0,0.4664179104477612,0.5555555555555556,wide
440.0,1.0,0.5410447761194029,0.6666666666666666,wide
460.0,1.0,0.0708955223880597,0.0,wide
480.0,1.0,0.3880597014925373,0.3888888888888889,wide
500.0,1.0,0.5597014925373134,0.7777777777777778,wide
520.0,1.0,0.044776119402985,0.0,wide
540.0,1.0,0.3097014925373134,0.2777777777777778,wide
560.0,1.0,0.3097014925373134,0.4444444444444444,wide
580.0,1.0,0.2574626865671642,0.3888888888888889,wide
600.0,1.0,0.5335820895522388,0.5,wide
620.0,1.0,0.8544776119402985,0.8888888888888888,wide
640.0,1.0,0.1902985074626865,0.2777777777777778,wide
660.0,1.0,0.0820895522388059,0.1111111111111111,wide
680.0,1.0,0.8768656716417911,0.8333333333333334,wide
700.0,1.0,0.5298507462686567,0.7777777777777778,wide
720.0,1.0,0.4776119402985074,0.5555555555555556,wide
740.0,1.0,0.8283582089552238,0.9444444444444444,wide
760.0,1.0,0.5895522388059702,0.6111111111111112,wide
